French,English
partie,part
histoire,history
seulement,only
pensais,thought
demande,request
mois,month
frère,brother
car,because
laisse,leash
eux,them
chaque,each
parlé,speak
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
étaient,were
affaire,case
donner,give
donné,given
train,train
corps,body
endroit,place
trouve,find
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
belle,beautiful
aujourd'hui,today
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
gros,large
aura,will have
filles,girls
jouer,to play
